GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:hermes,com.irurueta.hermes,CollectionItemChange,0,15,0,2,0,6,0,3,0,2
com.irurueta:hermes,com.irurueta.hermes,ListItemChangeAction,0,27,0,0,0,5,0,1,0,1
com.irurueta:hermes,com.irurueta.hermes,SequentialListItemChangeDetector,0,63,0,6,0,12,0,9,0,6
com.irurueta:hermes,com.irurueta.hermes,RemovedCollectionItemChange,0,16,0,2,0,6,0,3,0,2
com.irurueta:hermes,com.irurueta.hermes,ComparableCollectionItemChangeDetector,0,23,0,4,0,4,0,6,0,4
com.irurueta:hermes,com.irurueta.hermes,InsertedListItemChange,0,22,0,2,0,8,0,4,0,3
com.irurueta:hermes,com.irurueta.hermes,UpdatedCollectionItemChange,0,24,0,4,0,8,0,5,0,3
com.irurueta:hermes,com.irurueta.hermes,BuildInfo,6,107,1,3,2,27,1,11,0,10
com.irurueta:hermes,com.irurueta.hermes,CollectionItemChangeAction,0,21,0,0,0,4,0,1,0,1
com.irurueta:hermes,com.irurueta.hermes,CollectionItemChangeDetector,0,63,0,6,0,12,0,9,0,6
com.irurueta:hermes,com.irurueta.hermes,ComparableListItemChangeDetector,0,23,0,4,0,4,0,6,0,4
com.irurueta:hermes,com.irurueta.hermes,RemovedListItemChange,0,22,0,2,0,8,0,4,0,3
com.irurueta:hermes,com.irurueta.hermes,MovedListItemChange,0,36,0,4,0,12,0,7,0,5
com.irurueta:hermes,com.irurueta.hermes,ListItemChangeDetector,0,63,0,6,0,12,0,9,0,6
com.irurueta:hermes,com.irurueta.hermes,AbstractListItemChangeDetector,0,209,0,24,0,44,0,18,0,6
com.irurueta:hermes,com.irurueta.hermes,ComparableSequentialListItemChangeDetector,0,23,0,4,0,4,0,6,0,4
com.irurueta:hermes,com.irurueta.hermes,AbstractCollectionItemChangeDetector,0,162,1,19,0,41,1,14,0,5
com.irurueta:hermes,com.irurueta.hermes,AbstractSequentialListItemChangeDetector,0,263,3,27,0,56,3,18,0,6
com.irurueta:hermes,com.irurueta.hermes,InsertedCollectionItemChange,0,16,0,2,0,6,0,3,0,2
com.irurueta:hermes,com.irurueta.hermes,ListItemChange,0,9,0,0,0,4,0,2,0,2
com.irurueta:hermes,com.irurueta.hermes,UpdatedListItemChange,0,30,0,4,0,10,0,6,0,4
